epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,10907.1,0.91843,0.80227,1.21804,0.93988,0.94898,0.97438,0.84207,0.61656,0.3555,0.93021,0.005578,0.005578,0.005578
136,11072.4,0.90624,0.78061,1.21182,0.94361,0.94672,0.97361,0.84118,0.617,0.35607,0.93018,0.005545,0.005545,0.005545
137,11238.6,0.91711,0.80107,1.21605,0.94453,0.94987,0.97389,0.8428,0.61586,0.35497,0.92932,0.005512,0.005512,0.005512
138,166.439,0.87138,0.73157,1.19008,0.94535,0.94854,0.97387,0.84203,0.61571,0.3543,0.92926,0.005479,0.005479,0.005479
139,331.925,0.90064,0.76552,1.2061,0.94557,0.94867,0.97368,0.84273,0.61397,0.35399,0.92821,0.005446,0.005446,0.005446
140,497.037,0.90633,0.78149,1.21039,0.9454,0.94887,0.97401,0.84226,0.61177,0.35329,0.92752,0.005413,0.005413,0.005413
141,661.419,0.90157,0.77849,1.21237,0.94705,0.94541,0.97388,0.84353,0.60906,0.35249,0.92677,0.00538,0.00538,0.00538
142,827.012,0.90007,0.77578,1.20632,0.94753,0.94347,0.97414,0.84401,0.60983,0.35327,0.9275,0.005347,0.005347,0.005347
143,991.497,0.90041,0.76988,1.20679,0.94688,0.94683,0.97506,0.84333,0.60919,0.35311,0.92713,0.005314,0.005314,0.005314
144,1157.17,0.90077,0.78415,1.2088,0.95162,0.94296,0.97475,0.84394,0.60863,0.35343,0.92686,0.005281,0.005281,0.005281
145,1322.58,0.90483,0.78316,1.21235,0.95076,0.94251,0.9745,0.84595,0.60718,0.35342,0.92626,0.005248,0.005248,0.005248
146,1487.75,0.89492,0.7648,1.20124,0.95092,0.9423,0.97445,0.84656,0.60734,0.35205,0.92592,0.005215,0.005215,0.005215
147,1655.69,0.89544,0.77415,1.20412,0.95053,0.943,0.97447,0.84626,0.60705,0.35151,0.92572,0.005182,0.005182,0.005182
148,1821.36,0.89346,0.77807,1.20641,0.95284,0.9389,0.9744,0.84733,0.60689,0.35147,0.9254,0.005149,0.005149,0.005149
149,1987.5,0.89188,0.76889,1.20257,0.95285,0.94072,0.97412,0.84663,0.60738,0.35038,0.9257,0.005116,0.005116,0.005116
150,2151.76,0.8945,0.77769,1.20466,0.95312,0.94086,0.97427,0.84593,0.60604,0.35003,0.92511,0.005083,0.005083,0.005083
151,2317.14,0.89269,0.76205,1.20031,0.95448,0.94109,0.97483,0.84746,0.60558,0.34905,0.92504,0.00505,0.00505,0.00505
152,2484.06,0.89375,0.7732,1.20262,0.95516,0.94131,0.97484,0.84785,0.60469,0.34864,0.92451,0.005017,0.005017,0.005017
153,2648.66,0.89119,0.76021,1.20057,0.95281,0.94484,0.97473,0.84829,0.60443,0.34938,0.92431,0.004984,0.004984,0.004984
154,2811.97,0.88725,0.75905,1.19871,0.95233,0.94527,0.97495,0.84975,0.60349,0.34906,0.92421,0.004951,0.004951,0.004951
155,2974.86,0.88184,0.75388,1.19614,0.9523,0.94637,0.97463,0.84913,0.60358,0.34894,0.92446,0.004918,0.004918,0.004918
156,3138.21,0.88375,0.75185,1.20193,0.95296,0.9462,0.97477,0.84929,0.60317,0.34812,0.92443,0.004885,0.004885,0.004885
157,3300.24,0.8836,0.75215,1.19776,0.95503,0.9459,0.975,0.84907,0.60287,0.34728,0.92426,0.004852,0.004852,0.004852
158,3463,0.88334,0.75735,1.20047,0.9572,0.94472,0.97509,0.84951,0.60264,0.34681,0.92373,0.004819,0.004819,0.004819
159,3626.23,0.87706,0.73366,1.19236,0.95744,0.94476,0.97493,0.84981,0.60225,0.3464,0.92347,0.004786,0.004786,0.004786
160,3792.58,0.88336,0.75895,1.20145,0.95743,0.94325,0.97499,0.84952,0.60201,0.34703,0.92333,0.004753,0.004753,0.004753
161,3957.63,0.88134,0.75034,1.19577,0.95763,0.94403,0.97574,0.85009,0.60203,0.34629,0.92325,0.00472,0.00472,0.00472
162,4123.78,0.87762,0.74757,1.19784,0.95705,0.9445,0.97583,0.84919,0.60172,0.34588,0.92346,0.004687,0.004687,0.004687
163,4289.09,0.87263,0.74462,1.19574,0.95645,0.94515,0.97589,0.85007,0.60085,0.34528,0.92269,0.004654,0.004654,0.004654
164,4455.16,0.87216,0.73299,1.19051,0.95641,0.94529,0.976,0.84968,0.60037,0.34491,0.92228,0.004621,0.004621,0.004621
165,4619.82,0.87233,0.7363,1.19117,0.95556,0.94582,0.976,0.84908,0.60024,0.34459,0.92245,0.004588,0.004588,0.004588
